Campaign,Client
100ft Bangalore,100 FT
1947 Bangalore,1947
1947-D,1947
,3 Spice- The Food Court
56 Italian,56 Ristorante Italiano
56 Italian Display,56 Ristorante Italiano
56 Italian Text,56 Ristorante Italiano
56Italian- Brand Keywords,56 Ristorante Italiano
Adupadi,Adupadi
Aladdin Restaurant,Aladdin
Aladdin-DISPLAY,Aladdin
Almond Flower : Text,Almond Flower
Amrutham Display,Amrutham
Andhra House : Text,Andhra House
,Arabian Delites
Art Chilli Text,Art Chilli
AC Display,Art Chilli
Asian Bistro Text,Asian Bistro
Asian Haus,Asian Haus
Aslii Zaika - Exact,Aslii Zaika
Aslii Zaika-D,Aslii Zaika
Aye 1 Cafe,Aye 1 Cafe
Bameys,Bamey's Restro Cafe
Bameys-Display,Bamey's Restro Cafe
Bangs Fried Chicken : Text,Bangs Fried Chicken
Bawarchi,Bawarchi
BHUKKAD,Bhukkad
Bhukkad-Display,Bhukkad
Big Mummy- Search,Big Mummy
,Birinz
Biryani Blues,Biryani Blues
Biryani Blues-brand,Biryani Blues
Biryani Blues-d,Biryani Blues
Biryani Blues-Mobile,Biryani Blues
Biryani Blues-Search,Biryani Blues
Biryani Paradise-D,Biryani Paradise
Biryani Paradise,Biryani Paradise
Biryani Pot - Display,Biryani Pot
Biryani Pot-SEARCH,Biryani Pot
BONNE BOUCHE,Bonne Bouche
Boondock Bistro Text,Boondock Bistro
Boondock-d,Boondock Bistro
Bowled,Bowled
,Burger Singh
,Burrito Factory
,Caffaire
Calvin - Mobile,Calvin's
Calvin - Search,Calvin's
,Celestial Chefs
COL,Chickens of Ludhiana
,Chunkies
,Cocoberry
,Connies
Coriander Leaf,Coriander leaf
Coriander Leaf-D,Coriander leaf
Cosy Restaurant,Cosy Restaurant
Cup O Joe,Cup O Joe
Cup o Joe - Display,Cup O Joe
,D'MNT RestroBar
Dande's Biryani Text,Dande's Hyderabad Biryani
,Dee the baker
DEEWANI HAANDI,Deewani Haandi
DEEWANI HAANDI DISPLAY,Deewani Haandi
DEEWANI HAANDI-s,Deewani Haandi
Deewani Handi-d,Deewani Haandi
Delhi Restaurant Text,Delhi Restaurant
,Delhicious Kitchen
,Desee Dakshin
Designer Cake,Designer Cakes
DONER GRILL,Doner Grill
Doughlicious,Doughlicious
Doughlicious Display,Doughlicious
Doughlicious-DISPLAY,Doughlicious
DH : TEXT,Dragon Hut
DH Display,Dragon Hut
DRUMS,Drums Of Heaven Xpress
Earthen Spices,Earthen Spices
Eesh,Eesh's Take Away
Express Dhaba - Exact,Express Dhaba
Faarsi,Faarsi
Faarsi - Exact,Faarsi
Faarsi-Monday-BOGO,Faarsi
,Festa
Fidahh,Fidahh
Fired Karamchari,Fired Karamchari
Fired Karamchari Display,Fired Karamchari
,Flaming Wok
,Flavors of Chennai
Flavors of Italy - Exact,Flavors Of Italy
,Food Gallery
FOOD ZILLA,Foodzilla
,Forking Rolls
Give me 5 : Text,Give Me 5 Cafe
,Godavari Ruchulu
,Golkonda Chimney
Good Food Cafe,Good Food Cafe
gfc,Good Food Cafe
gfc1,Good Food Cafe
Good Food Cafe-D,Good Food Cafe
GRAB EAT,Grab Eat
Grab Eat Display,Grab Eat
,Gravies
Greasy Spoon,Greasy Spoon
,Green Chilli
Grubnomic - Search,Grubnomic
HAANDI,Haandi
Haandi-20% Off,Haandi
Haandi-25% Off,Haandi
,Handpies
Happy Ending,Happy Endings
Happy Hakka,Happy Hakka
happy hakka-d,Happy Hakka
,Hotel Athappar
,Hungry's BBQ
,Hungry i
IBC : Display,Indian Bistro Company
IBC Text,Indian Bistro Company
Pizza Intalia - S,INTALIA
Pizza intalia display,INTALIA
Pizza Intalia-D,INTALIA
Istanbul Doner,Istanbul Doner
Istanbul-d,Istanbul Doner
Izu Restaurant,IZU
IZU-D,IZU
JIMMY GOURMET,Jimmy's Gourmet Kitchen
Jimmys,Jimmy's Gourmet Kitchen
,JW Mirage
Kamboj : Text,Kamboj
Kashmiri Kitchen,Kashmiri Kitchen
kebab gali,Kebab Gali
Kebabnama-D,KebabNama
Kebabnama-Search,KebabNama
Kebabs and Curry's,Kebabs & Curries
Kebabs n curries-Display,Kebabs & Curries
Kebabs n curries-S,Kebabs & Curries
Khaja Chowk,Khaaja Chowk
KC - 15%,Khaaja Chowk
KC - W3 - Oct - 15% off,Khaaja Chowk
KC-D,Khaaja Chowk
KC-S,Khaaja Chowk
KHAN SAHEB,Khan Saheb
KHAN SAHEB-DISPLAY,Khan Saheb
KhanSaheb-D,Khan Saheb
KINGS FOOD NATION,King's Foodnation
,Knight Delivers
,KNIGHT RIDER
LA VIE,LA VIE
Leaping Caravan,Leaping Caravan
LEAPING CARAVAN s,Leaping Caravan
Leaping Caravan-D,Leaping Caravan
LETS NOODLE-1,Let's Noodles
Lets Noodles,Let's Noodles
LETS NOODLE-search,Let's Noodles
LETS NOODLE-search-offer-25%,Let's Noodles
Lockup Text,LOCK UP
,Love Is Cakes
,Lucknowiz
,Madras Hut
Maini's Green Leaf,Maini's Green Leaf
marias goan kitchen,Maria's Goan Kitchen
Marias Goan Kitchen-Display,Maria's Goan Kitchen
Midnight Foodpoint,Midnight Food Point
Midnight foodpoint Display,Midnight Food Point
Midnight Munchies,MIDNIGHTMUNCHIES
MOETS CURRY,Moets Curry Pot
MOETS CURRY POT-NewDisplay-remarketing,Moets Curry Pot
MOETS CURRY POT-Remarketing,Moets Curry Pot
Moets Shack,Moets Shack
MOETS-25%,Moets Stone
Mr d-Display,MR.D Deliciousness Delivered
Mr. D,MR.D Deliciousness Delivered
My Spice Kitchen,My Spice Kitchen
MY SPICE KITCHEN - Display,My Spice Kitchen
My Spice Kitchen5,My Spice Kitchen
My Spice Kitchen-Coke,My Spice Kitchen
New York Slice,New York Slice
New York Slice - Display,New York Slice
New York Slice-d,New York Slice
Yummy NH8,NH 8
Yummy NH8-DISPLAY,NH 8
O Curry,O curry
O Curry : DISPLAY,O curry
O Curry : TEXT,O curry
Oliver's,Oliver's Pizzas
Olivers-D,Oliver's Pizzas
OOPS ITS CHINESE,Oops-It's-Chinese
OOPS IT'S CHINESE-D,Oops-It's-Chinese
,Oota
Organic Express- FOOD,Organic Express
Organic Express- Food- Search,Organic Express
Organic Food Express,Organic Express
Oriental Kitchen,Oriental Kitchen
Panda boy,Panda Boy
Paranthe - Display,Parathe Wali Gali
Paranthe Vali Gali,Parathe Wali Gali
,Persian Darbar
,Ploof
Punjabi Times: Text,Punjabi Times
Red Chilli-10-6,Red Chilli
Red Chilli-6-10,Red Chilli
,Red Moon Bakery
Red Onion : Text,Red Onion
RD Display,Red Onion
RED WOK,Red Wok
,Regency Park
ROSSA ASAP,Rossa Asap
Red Hot Asian Bristro-D,Rred Hot Asian Bistro
Rred Hot Asian - Free Dimsum,Rred Hot Asian Bistro
SALWA,Salwa
Salwa-D,Salwa
,Shekaza
,Shree Sagar
Singh Ching Display,Singh Ching
Singh Ching Text,Singh Ching
Smally's - Search,Smally's Resto Cafe
smoke biryani house,Smoked Biryani House
SmokeBiryaniHouse-D,Smoked Biryani House
SMOKED HOUSE BIRYANI,Smoked Biryani House
,Soi Thai
,Southern Spice
,Spice Grill
SPICE EXPRESS,Spice Xpress
Spice Xpress Display,Spice Xpress
,Subway
SUSHI HAUS,Sushi Haus
Sushi Haus Display,Sushi Haus
Tadka Singh,Tadkasingh
tadka singh-d,Tadkasingh
Tandoor Hut,Tandoor Hut
Tandoor Hut Display,Tandoor Hut
Tandoor Hut Text,Tandoor Hut
Tawak Display,TAWAK
Tawak Text,TAWAK
Tez Tadaka-D,Tez Tadka
Tez Tadka,Tez Tadka
Tez Tadka Search,Tez Tadka
Tez Tadka Topic,Tez Tadka
,Thaali Express
Breakfast Club,The Breakfast Club
BREAKFAST CLUB 1,The Breakfast Club
Noodle Box,The Noodle Box Co.
Noodle Box- 30% Off,The Noodle Box Co.
Noodle Box-D,The Noodle Box Co.
Pizzeria,The Pizzeria
Pizzeria-D,The Pizzeria
,The Toddy Shop
Tikki Tikki-Display,Tikki Tikki
Tikki Tikki-Search,Tikki Tikki
,Toast Bar And Grill
,Toast garden lounge
,Top In Town bar n restaurant
TPOT,Tpot
TPOT Display,Tpot
Urban Degchi,Urban Degchi- Kitchen & Bar
URBAN DEGCHI Display,Urban Degchi- Kitchen & Bar
URBAN DEGCHI RETARGET,Urban Degchi- Kitchen & Bar
VijayavadaStyleRestaurant,Vijayawada Style
VijayavadaStyleRestaurant - Display,Vijayawada Style
VIVA-15%,Viva Hyderabad
VIVA-Display,Viva Hyderabad
VIVA-Remarketing,Viva Hyderabad
Wok - Search,Wok
YO China - DISPLAY,Yo! China
YO CHINA -SEARCH,Yo! China
Yo China-Display,Yo! China
,Yoga Cafe
,Yumm Biryani
,Zaika Take Away
Zambar,Zambar Coastal Kitchen
Zambar-D,Zambar Coastal Kitchen
,Aditi & Nandita Food Corner
,Ardent Delicatessen 
,Asia 7
,Baked Beauty
Baker Street,Baker Street
Bakers Street-D,Baker Street
,Biryani Boxx
Cafe 5- DISPLAY,Cafe Five
Cafe Five,Cafe Five
,Cafe Unity
,Chawla's 2
,Chick 'N' Salsa
,Desi Mangoes
Desi Tadka,Desi Tadka
Desi Tadka Display,Desi Tadka
,Divine Curries
Fresc co Text,Fresc Co
Fresx Co Dispaly,Fresc Co
,Fresh n Refresh
G Dot Text,G-Dot
GDot Display,G-Dot
,Grand Eatery
,Grandma's Kitchen
Not Just Desserts : Text,Just Desserts
,Just Shawarma
,Karo Dhan
Khana Pina : Text,Khana Pina
,King Chilli
,Kshatriya's
,London Cafe
,Maachh Bhaat
MYMYKITCHEN,My My Kitchen
,Nibelette
Pep Box,Pep Box
,Plan B
Quick Bakes: Text,Quick Bakes
Rotti Mane,Rotti Mane
Shawarma Factory: Text,Shawarma Factory
,Street Pizza
Subhub,Sub Hub
,Taxi World Food Cafe
Phrase & Exact,Temptations
Sugar Cube Display,The Sugar Cube
Sugar Cube Text,The Sugar Cube
Tilpy's Kitchen,Tilpy's Kitchen
Tilpy's Kitchen-D,Tilpy's Kitchen
Turban T Display,Turban Tadka
Turban Tadka,Turban Tadka
Offer,Turban Tadka
Cafe Style Dhaba,Misc
DILLICIOUSLY DELHI - DELHI,Misc
Dilliciously delhi gurgaon-search,Misc
Dilliciously Delhi- Noida,Misc
Dilliciously delhi noida-search,Misc
Dilliciously delhi-delhi-search,Misc
DILLICIOUSLY DELHI-GURGAON,Misc
FOOD TRIP,Misc
Food Trip-Display,Misc
Jothi's,Misc
Midnight Express,Misc
Pure Punjabi,Misc
Pure Punjabi Display,Misc
RUMI,Misc
Text,Misc
